lemma,abs_frequency,ipm
происходить,21447,298
путь,21372,297
молодой,21335,296
дома,21317,296
именно,21196,294
соглашаться,21099,293
написать,21082,293
называть,21015,292
полный,20938,291
урок,20845,290
кричать,20738,288
огромный,20732,288
квартира,20671,287
пять,20655,287
море,20641,287
снимать,20620,286
кивнуть,20565,286
завтра,20550,285
девчонка,20411,283
сердце,20380,283
камень,20344,283
полагать,20322,282
предлагать,20097,279
считать,20089,279
ж,20081,279
ветер,20048,278
играть,19895,276
что-нибудь,19771,275
ко,19762,274
представлять,19739,274
оба,19673,273
живой,19584,272
приносить,19522,271
сын,19509,271
старик,19494,271
писать,19490,271
душа,19283,268
звать,19279,268
глава,19264,268
возле,19243,267
откуда,19194,267
как-то,19192,267
вперед,19180,266
мир,19159,266
карман,19139,266
стараться,19121,266
просить,19114,265
знакомый,19080,265
плохо,19080,265
капитан,18998,264
таня,18965,263
чувствовать,18934,263
угол,18710,260
андрей,18701,260
протягивать,18683,259
саша,18649,259
однако,18628,259
более,18622,259
медленно,18592,258
сначала,18563,258
доставать,18423,256
губа,18376,255
совершенно,18302,254
ехать,18195,253
начинаться,18045,251
поставлять,17917,249
вести,17897,249
брать,17857,248
чего,17830,248
общий,17813,247
смочь,17719,246
поэтому,17712,246
зеленый,17651,245
рот,17612,245
третий,17566,244
часто,17565,244
вроде,17509,243
какой-нибудь,17428,242
повторять,17403,242
закричать,17386,241
родитель,17372,241
легко,17355,241
внимание,17287,240
письмо,17243,239
волос,17210,239
отдавать,17164,238
река,17142,238
закрывать,17135,238
поехать,17012,236
история,16897,235
бросаться,16849,234
кажется,16816,234
заниматься,16805,233
разный,16779,233
ромка,16778,233
снег,16760,233
москва,16635,231
уметь,16585,230
гора,16578,230
среди,16570,230
странный,16540,230
спокойно,16478,229
ответ,16440,228
правый,16439,228
иногда,16413,228
темный,16399,228
хозяин,16374,227
гость,16373,227
корабль,16371,227
восклицать,16363,227
имя,16228,225
край,16201,225
придумывать,16193,225
побежать,16188,225
близко,16159,224
страшный,16070,223
тяжелый,16067,223
телефон,16001,222
война,15970,222
действительно,15960,222
вниз,15893,221
коридор,15889,221
готовый,15812,220
вещь,15782,219
встречать,15781,219
кроме,15774,219
трава,15765,219
верить,15760,219
мишка,15691,218
десять,15610,217
добрый,15566,216
язык,15500,215
попросить,15489,215
коля,15462,215
зуб,15459,215
пытаться,15437,214
исчезать,15401,214
громко,15392,214
сильно,15368,213
упасть,15229,212
уезжать,15207,211
едва,15160,211
вчера,15069,209
четыре,15022,209
приниматься,14998,208
проводить,14969,208
мимо,14958,208
добавлять,14948,208
сестра,14903,207
кухня,14873,207
поле,14873,207
сергей,14869,207
нравиться,14863,206
сон,14791,205
тонкий,14790,205
взглядывать,14786,205
затем,14737,205
повертываться,14732,205
осторожно,14703,204
схватывать,14702,204
красивый,14698,204
игорь,14691,204
вызывать,14687,204
старший,14678,204
сообщать,14669,204
часть,14655,204
смеяться,14633,203
убивать,14583,203
помощь,14577,202
директор,14512,202
огонь,14440,201
учиться,14436,201
удаваться,14418,200
собирать,14368,200
есть,14300,199
генка,14284,198
главный,14264,198
сквозь,14235,198
женька,14205,197
ладонь,14190,197
особенно,14154,197
почему-то,14154,197
прийти,14143,196
даша,14135,196
момент,14134,196
вон,14110,196
митя,14067,195
порядок,14057,195
чтоб,14035,195
раздаваться,14034,195
спасибо,14011,195
антон,13938,194
вася,13937,194
труд,13923,193
любой,13922,193
догадываться,13784,191
встречаться,13782,191
пожалуйста,13759,191
двадцать,13738,191
позвонить,13736,191
серый,13682,190
ой,13656,190
миша,13502,188
слишком,13502,188
заглядывать,13490,187
обращаться,13489,187
купить,13478,187
молча,13469,187
следующий,13449,187
учитель,13417,186
алиса,13411,186
страх,13355,185
народ,13347,185
отправляться,13280,184
разговаривать,13262,184
ход,13240,184
витька,13239,184
небольшой,13187,183
никак,13159,183
лодка,13151,183
остальной,13131,182
куст,13061,181
взрослый,13049,181
где-то,13046,181
почувствовать,13027,181
неужели,12987,180
грудь,12958,180
лестница,12942,180
синий,12940,180
проговаривать,12924,180
зал,12913,179
след,12876,179
трудно,12872,179
николай,12846,178
секунда,12834,178
широкий,12824,178
женя,12767,177
плохой,12750,177
спускаться,12749,177
неожиданно,12748,177
тысяча,12713,177
номер,12678,176
главное,12672,176
пожимать,12669,176
поздно,12667,176
пропадать,12640,176
переставать,12624,175
сходить,12565,175
хватить,12556,174
интересно,12536,174
трубка,12513,174
ясно,12507,174
некоторый,12502,174
вместо,12461,173
толстый,12460,173
умирать,12454,173
деревня,12419,172
пустой,12410,172
ничего,12399,172
передавать,12378,172
прочитывать,12372,172
усмехаться,12366,172
чужой,12365,172
засмеяться,12354,172
обратно,12331,171
стоить,12315,171
лоб,12313,171
неделя,12268,170
страна,12241,170
весело,12224,170
наверно,12222,170
вскакивать,12218,170
лист,12182,169
возвращаться,12160,169
слеза,12147,169
пить,12136,169
мужчина,12115,168
газета,12107,168
веселый,12085,168
желтый,12082,168
чай,12063,168
димка,12052,167
однажды,12050,167
